id,desc_tr
P0206,Enjektör Devresi Arızası - Silindir 5
P0207,Enjektör Devresi Arızası - Silindir 6
P0208,Enjektör Devresi Arızası - Silindir 7
P0209,Enjektör Devresi Arızası - Silindir 8
P0210,Enjektör Devresi Arızası - Silindir 9
P0211,Enjektör Devresi Arızası - Silindir 10
P0212,Enjektör Devresi Arızası - Silindir 11
P0213,Enjektör Devresi Arızası - Silindir 12
P0214,Soğuk Çalıştırma Enjektörü 1 Arızası
P0215,Soğuk Çalıştırma Enjektörü 2 Arızası
P0216,Motor Kapatma Solenoidi Arızası
P0217,Enjeksiyon Zamanlaması Kontrol Devresi Arızası
P0218,Motor Aşırı Sıcaklık Durumu
P0219,İletim Aşırı Sıcaklık Durumu
P0220,Motor Aşırı Hız Durumu
P0221,Gaz Kelebeği/Petal Konum Sensörü/Anahtar B Devresi Arızası
P0222,Gaz Kelebeği/Petal Konum Sensörü/Anahtar B Devre Menzili/Performans Sorunu
P0223,Gaz Kelebeği/Petal Konum Sensörü/Anahtar B Devresi Düşük Girişi
P0224,Gaz Kelebeği/Petal Konum Sensörü/Anahtar B Devresi Yüksek Girişi
P0225,Gaz Kelebeği/Petal Konum Sensörü/Anahtar B Devresi Aralıklı
P0226,Gaz Kelebeği/Petal Konum Sensörü/Anahtar C Devresi Arızası
P0227,Gaz Kelebeği/Petal Konum Sensörü/Anahtar C Devre Aralığı/Performans Sorunu
P0228,Gaz Kelebeği/Petal Konum Sensörü/Anahtar C Devresi Düşük Girişi
P0229,Gaz Kelebeği/Petal Konum Sensörü/Anahtar C Devresi Yüksek Girişi
P0230,Gaz Kelebeği/Petal Konum Sensörü/Anahtar C Devresi Aralıklı
P0231,Yakıt Pompası Ana Devre Arızası
P0232,Yakıt Pompası İkincil Devresi Düşük
P0233,Yakıt Pompası İkincil Devresi Yüksek
P0234,Yakıt Pompası İkincil Devre Aralıklı
P0235,Motorun Aşırı Takviye Durumu
P0236,Turbo Şarjı Takviye Sensörü A Devresi Arızası
P0237,Turboşarj Takviye Sensörü A Devre Aralığı/Performansı
P0238,Turbo Şarjı Takviye Sensörü A Devresi Düşük
P0239,Turbo Şarjı Takviye Sensörü A Devresi Yüksek
P0240,Turbo Şarjı Takviye Sensörü B Arızası
P0241,Turbo Şarjı Takviye Sensörü B Devre Aralığı/Performansı
P0242,Turbo Şarjı Takviye Sensörü B Devresi Düşük
P0243,Turbo Şarjı Takviye Sensörü B Devresi Yüksek
P0244,Turbo Şarjı Atık Kapağı Solenoidi A Arızası
P0245,Turboşarj Tahliye Kapağı Solenoidi A Aralığı/Performansı
P0246,Turbo Şarjı Atık Kapağı Solenoidi A Düşük
P0247,Turboşarj Tahliye Kapağı Solenoidi A Yüksek
P0248,Turbo Şarjı Atık Kapağı Solenoidi B Arızası
P0249,Turbo Şarjı Atık Kapağı Solenoidi B Aralığı/Performansı
P0250,Turbo Şarjı Atık Kapağı Solenoidi B Düşük
P0251,Turboşarj Tahliye Kapağı Solenoidi B Yüksek
P0252,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""A"" Arızası (Kam/Rotor/Enjektör)"
P0253,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""A"" Aralığı/Performansı (Kam/Rotor/Enjektör)"
P0254,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""A"" Düşük (Kam/Rotor/Enjektör)"
P0255,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""A"" Yüksek (Kam/Rotor/Enjektör)"
P0256,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""A"" Aralıklı (Kam/Rotor/Enjektör)"
P0257,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""B"" Arızası (Kam/Rotor/Enjektör)"
P0258,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""B"" Aralığı/Performansı (Kam/Rotor/Enjektör)"
P0259,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""B"" Düşük (Kam/Rotor/Enjektör)"
P0260,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""B"" Yüksek (Kam/Rotor/Enjektör)"
P0261,"Enjeksiyon Pompası Yakıt Ölçüm Kontrolü ""B"" Aralıklı (Kam/Rotor/Enjektör)"
P0262,Silindir 1 Enjektör Devresi Düşük
P0263,Silindir 1 Enjektör Devresi Yüksek
P0264,Silindir 1 Katkısı/Denge Arızası
P0265,Silindir 2 Enjektör Devresi Düşük
P0266,Silindir 2 Enjektör Devresi Yüksek
P0267,Silindir 2 Katkısı/Denge Arızası
P0268,Silindir 3 Enjektör Devresi Düşük
P0269,Silindir 3 Enjektör Devresi Yüksek
P0270,Silindir 3 Katkı/Denge Arızası
P0271,Silindir 4 Enjektör Devresi Düşük
P0272,Silindir 4 Enjektör Devresi Yüksek
P0273,Silindir 4 Katkı/Denge Arızası
P0274,Silindir 5 Enjektör Devresi Düşük
P0275,Silindir 5 Enjektör Devresi Yüksek
P0276,Silindir 5 Katkı/Denge Arızası
P0277,Silindir 6 Enjektör Devresi Düşük
P0278,Silindir 6 Enjektör Devresi Yüksek
P0279,Silindir 6 Katkı/Denge Arızası
P0280,Silindir 7 Enjektör Devresi Düşük
P0281,Silindir 7 Enjektör Devresi Yüksek
P0282,Silindir 7 Katkı/Denge Arızası
P0283,Silindir 8 Enjektör Devresi Düşük
P0284,Silindir 8 Enjektör Devresi Yüksek
P0285,Silindir 8 Katkı/Denge Arızası
P0286,Silindir 9 Enjektör Devresi Düşük
P0287,Silindir 9 Enjektör Devresi Yüksek
P0288,Silindir 9 Katkı/Denge Arızası
P0289,Silindir 10 Enjektör Devresi Düşük
P0290,Silindir 10 Enjektör Devresi Yüksek
P0291,Silindir 10 Katkı/Bakiye Arızası
P0292,Silindir 11 Enjektör Devresi Düşük
P0293,Silindir 11 Enjektör Devresi Yüksek
P0294,Silindir 11 Katkı/Bakiye Arızası
P0295,Silindir 12 Enjektör Devresi Düşük
P0296,Silindir 12 Enjektör Devresi Yüksek
P0300,Silindir 12 Katkı/Aralık Arızası
P0301,Rastgele/Çoklu Silindir Teklemesi Algılandı
P0302,Silindir 1 Tekleme Algılandı
P0303,Silindir 2 Tekleme Algılandı
P0304,Silindir 3 Tekleme Algılandı
P0305,Silindir 4 Tekleme Algılandı
P0306,Silindir 5 Tekleme Algılandı
P0307,Silindir 6 Tekleme Algılandı
P0308,Silindir 7 Tekleme Algılandı
P0309,Silindir 8 Tekleme Algılandı
P0310,Silindir 9 Tekleme Algılandı
P0311,Silindir 10 Tekleme Algılandı
P0312,Silindir 11 Tekleme Algılandı
P0320,Silindir 12 Tekleme Algılandı
P0321,Ateşleme/Dağıtıcı Motor Hız Giriş Devresi Arızası
P0322,Ateşleme/Dağıtıcı Motor Hızı Giriş Devresi Aralığı/Performansı
P0323,Ateşleme/Dağıtıcı Motor Hız Giriş Devresi Sinyal Yok
P0325,Ateşleme/Dağıtıcı Motor Hız Giriş Devresi Aralıklı
P0326,Vuruntu Sensörü 1 Devre Arızası (Sıra 1 veya Tek Sensör)
P0327,Vuruntu Sensörü 1 Devre Aralığı/Performansı (Sıra 1 veya Tek Sensör)
P0328,Vuruntu Sensörü 1 Devresi Düşük Girişi (Sıra 1 veya Tek Sensör)
P0329,Vuruntu Sensörü 1 Devresi Yüksek Girişi (Sıra 1 veya Tek Sensör)
P0330,Vuruntu Sensörü 1 Devresi Aralıklı (Sıra 1 veya Tek Sensör)
P0331,Vuruntu Sensörü 2 Devre Arızası (Sıra 2)
P0332,Vuruntu Sensörü 2 Devre Aralığı/Performansı (Sıra 2)
P0333,Vuruntu Sensörü 2 Devresi Düşük Girişi (Sıra 2)
P0334,Vuruntu Sensörü 2 Devresi Yüksek Girişi (Sıra 2)
P0335,Vuruntu Sensörü 2 Devresi Aralıklı (Sıra 2)
P0336,Krank Mili Konum Sensörü A Devresi Arızası
P0337,Krank Mili Konum Sensörü A Devre Aralığı/Performansı
P0338,Krank Mili Konum Sensörü A Devresi Düşük Girişi
P0339,Krank Mili Konum Sensörü A Devresi Yüksek Girişi
P0340,Krank Mili Konum Sensörü A Devresi Aralıklı
P0341,Eksantrik Mili Konum Sensörü Devresi Arızası
P0342,Eksantrik Mili Konum Sensörü Devre Aralığı/Performansı
P0343,Eksantrik Mili Konum Sensörü Devresi Düşük Girişi
P0344,Eksantrik Mili Konum Sensörü Devresi Yüksek Girişi
P0350,Eksantrik Mili Konum Sensörü Devresi Aralıklı
P0351,Ateşleme Bobini Birincil/İkincil Devre Arızası
P0352,Ateşleme Bobini A Birincil/İkincil Devre Arızası
P0353,Ateşleme Bobini B Birincil/İkincil Devre Arızası
P0354,Ateşleme Bobini C Birincil/İkincil Devre Arızası
P0355,Ateşleme Bobini D Birincil/İkincil Devre Arızası
P0356,Ateşleme Bobini E Birincil/İkincil Devre Arızası
P0357,Ateşleme Bobini F Birincil/İkincil Devre Arızası
P0358,Ateşleme Bobini G Birincil/İkincil Devre Arızası
P0359,Ateşleme Bobini H Birincil/İkincil Devre Arızası
P0360,Ateşleme Bobini I Birincil/İkincil Devre Arızası
P0361,Ateşleme Bobini J Birincil/İkincil Devre Arızası
P0362,Ateşleme Bobini K Birincil/İkincil Devre Arızası
P0370,Ateşleme Bobini L Birincil/İkincil Devre Arızası
P0371,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal A Arızası
P0372,Zamanlama Referansı Yüksek Çözünürlük Sinyali Çok Fazla Darbe
P0373,Zamanlama Referansı Yüksek Çözünürlük Sinyali Çok Az Darbe
P0374,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal A Aralıklı/Düzensiz Darbeler
P0375,Zamanlama Referansı Yüksek Çözünürlük Sinyali A Darbe Yok
P0376,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal B Arızası
P0377,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal B Çok Fazla Darbe
P0378,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal B Çok Az Darbe
P0379,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal B Aralıklı/Düzensiz Darbeler
P0380,Zamanlama Referansı Yüksek Çözünürlüklü Sinyal B Darbe Yok
P0381,"Kızdırma Bujisi/Isıtıcı Devresi ""A"" Arızası"
P0382,Kızdırma Bujisi/Isıtıcı Gösterge Devresi Arızası
P0385,Egzoz Gazı Devridaim Akışı Arızası
P0386,Krank Mili Konum Sensörü B Devresi Arızası
P0387,Krank Mili Konum Sensörü B Devre Aralığı/Performansı
P0388,Krank Mili Konum Sensörü B Devresi Düşük Girişi
P0389,Krank Mili Konum Sensörü B Devresi Yüksek Girişi
P0400,Krank Mili Konum Sensörü B Devresi Aralıklı
P0401,Egzoz Gazı Devridaim Akışı Arızası
P0402,Egzoz Gazı Devridaim Akışı Yetersiz Algılandı
P0403,Egzoz Gazı Devridaim Akışı Aşırı Algılandı
P0404,Egzoz Gazı Devridaim Devresi Arızası
P0405,Egzoz Gazı Devridaim Devre Aralığı/Performansı
P0406,Egzoz Gazı Devridaim Sensörü A Devresi Düşük
P0407,Egzoz Gazı Devridaim Sensörü A Devresi Yüksek
P0408,Egzoz Gazı Devridaim Sensörü B Devresi Düşük
P0410,Egzoz Gazı Devridaim Sensörü B Devresi Yüksek
P0411,İkincil Hava Enjeksiyon Sistemi Arızası
P0412,İkincil Hava Enjeksiyon Sistemi Yanlış Akış Algılandı
P0413,İkincil Hava Enjeksiyon Sistemi Anahtarlama Valfı A Devresi Arızası
P0414,İkincil Hava Enjeksiyon Sistemi Anahtarlama Valfı A Devresi Açık
P0415,İkincil Hava Enjeksiyon Sistemi Anahtarlama Valfı A Devresi Kısa Devreli
P0416,İkincil Hava Enjeksiyon Sistemi Anahtarlama Valfı B Devresi Arızası
P0417,İkincil Hava Enjeksiyon Sistemi Anahtarlama Valfı B Devresi Açık
P0418,İkincil Hava Enjeksiyon Sistemi Anahtarlama Valfı B Devresi Kısa Devreli
P0419,"İkincil Hava Enjeksiyon Sistemi Rölesi ""A"" Devre Arızası"
P0420,"İkincil Hava Enjeksiyon Sistemi Rölesi ""B"" Devre Arızası"
P0421,Katalizör Sistemi Verimliliği Eşiğin Altında (Sıra 1)
P0422,Eşiğin Altında Isınma Katalizör Verimliliği (Sıra 1)
P0423,Eşiğin Altında Ana Katalizör Verimliliği (Sıra 1)
P0424,Eşiğin Altında Isıtmalı Katalizör Verimliliği (Sıra 1)
P0426,Eşiğin Altında Isıtılmış Katalizör Sıcaklığı (Sıra 1)
P0427,Katalizör Sıcaklık Sensörü Aralığı/Performansı (Sıra 1)
P0428,Katalizör Sıcaklık Sensörü Düşük Girişi (Sıra 1)
P0430,Katalizör Sıcaklık Sensörü Yüksek Girişi (Sıra 1)
P0431,Katalizör Sistemi Verimliliği Eşiğin Altında (Sıra 2)
P0432,Eşiğin Altında Isınma Katalizör Verimliliği (Sıra 2)
P0433,Eşiğin Altında Ana Katalizör Verimliliği (Sıra 2)
P0434,Eşiğin Altında Isıtmalı Katalizör Verimliliği (Sıra 2)
P0436,Eşiğin Altında Isıtılmış Katalizör Sıcaklığı (Sıra 2)
P0437,Katalizör Sıcaklık Sensörü Aralığı/Performansı (Sıra 2)
P0438,Katalizör Sıcaklık Sensörü Düşük Girişi (Sıra 2)
P0440,Katalizör Sıcaklık Sensörü Yüksek Girişi (Sıra 2)
P0441,Evaporatif Emisyon Kontrol Sistemi Arızası
P0442,Evaporatif Emisyon Kontrol Sistemi Yanlış Tahliye Akışı
P0443,Evaporatif Emisyon Kontrol Sisteminde Kaçak Tespit Edildi (küçük sızıntı)
P0444,Evaporatif Emisyon Kontrol Sistemi Tahliye Kontrol Vanası Devresi Arızası
P0445,Evaporatif Emisyon Kontrol Sistemi Tahliye Kontrol Vanası Devresi Açık
P0446,Evaporatif Emisyon Kontrol Sistemi Tahliye Kontrol Vanası Devresi Kısa Devreli
P0447,Evaporatif Emisyon Kontrol Sistemi Havalandırma Kontrol Devresi Arızası
P0448,Evaporatif Emisyon Kontrol Sistemi Havalandırma Kontrol Devresi Açık
P0449,Evaporatif Emisyon Kontrol Sistemi Havalandırma Kontrol Devresi Kısa Devreli
P0450,Evaporatif Emisyon Kontrol Sistemi Havalandırma Valfı/Solenoid Devre Arızası
P0451,Evaporatif Emisyon Kontrol Sistemi Basınç Sensörü Arızası
P0452,Evaporatif Emisyon Kontrol Sistemi Basınç Sensörü Aralığı/Performansı
P0453,Evaporatif Emisyon Kontrol Sistemi Basınç Sensörü Düşük Girişi
P0454,Evaporatif Emisyon Kontrol Sistemi Basınç Sensörü Yüksek Giriş
P0455,Evaporatif Emisyon Kontrol Sistemi Basınç Sensörü Aralıklı
P0460,Evaporatif Emisyon Kontrol Sisteminde Kaçak Tespit Edildi (brüt sızıntı)
P0461,Yakıt Seviye Sensörü Devresi Arızası
P0462,Yakıt Seviye Sensörü Devre Aralığı/Performansı
P0463,Yakıt Seviye Sensörü Devresi Düşük Girişi
P0464,Yakıt Seviye Sensörü Devresi Yüksek Girişi
P0465,Yakıt Seviye Sensörü Devresi Aralıklı
P0466,Boşaltma Akış Sensörü Devresi Arızası
P0467,Temizleme Akış Sensörü Devre Aralığı/Performansı
P0468,Temizleme Akış Sensörü Devresi Düşük Girişi
P0469,Temizleme Akış Sensörü Devresi Yüksek Girişi
P0470,Temizleme Akış Sensörü Devresi Aralıklı
P0471,Egzoz Basıncı Sensörü Arızası
P0472,Egzoz Basıncı Sensörü Aralığı/Performansı
P0473,Egzoz Basıncı Sensörü Düşük
P0474,Egzoz Basıncı Sensörü Yüksek
P0475,Egzoz Basıncı Sensörü Aralıklı
P0476,Egzoz Basıncı Kontrol Valfı Arızası
P0477,Egzoz Basıncı Kontrol Valfı Aralığı/Performansı
P0478,Egzoz Basıncı Kontrol Valfı Düşük
P0479,Egzoz Basıncı Kontrol Valfı Yüksek
P0480,Egzoz Basıncı Kontrol Valfı Aralıklı
P0481,Soğutma Fanı 1 Kontrol Devresi Arızası
P0482,Soğutma Fanı 2 Kontrol Devresi Arızası
P0483,Soğutma Fanı 3 Kontrol Devresi Arızası
P0484,Soğutma Fanı Mantıksallık Kontrolü Arızası
P0485,Soğutma Fanı Devresinde Aşırı Akım
P0500,Soğutma Fanı Gücü/Topraklama Devresi Arızası
P0501,Araç Hız Sensörü Arızası
P0502,Araç Hız Sensörü Aralığı/Performansı
P0503,Araç Hız Sensörü Düşük Girişi
P0505,Araç Hız Sensörü Aralıklı/Düzensiz/Yüksek
P0506,Rölanti Kontrol Sistemi Arızası
P0507,Rölanti Kontrol Sistemi Devri Beklenenden Düşük
P0510,Rölanti Kontrol Sistemi Devri Beklenenden Yüksek
P0520,Kapalı Gaz Kelebeği Konum Anahtarı Arızası
P0521,Motor Yağı Basınç Sensörü/Anahtar Devresi Arızası
P0522,Motor Yağı Basınç Sensörü/Anahtar Devre Aralığı/Performansı
P0523,Motor Yağı Basınç Sensörü/Anahtar Devresi Düşük Gerilimi
P0530,Motor Yağı Basınç Sensörü/Anahtar Devresi Yüksek Gerilimi
P0531,Klima Soğutucu Akışkan Basınç Sensörü Devresi Arızası
P0532,Klima Soğutucu Akışkan Basınç Sensörü Devre Aralığı/Performansı
P0533,Klima Soğutucu Akışkan Basınç Sensörü Devresi Düşük Girişi
P0534,Klima Soğutucu Akışkan Basınç Sensörü Devresi Yüksek Girişi
P0550,Klima Soğutucu Akışkan Şarj Kaybı
P0551,Servo Direksiyon Basınç Sensörü Devresi Arızası
P0552,Servo Direksiyon Basınç Sensörü Devre Aralığı/Performansı
P0553,Servo Direksiyon Basınç Sensörü Devresi Düşük Girişi
P0554,Servo Direksiyon Basınç Sensörü Devresi Yüksek Giriş
P0560,Servo Direksiyon Basınç Sensörü Devresi Aralıklı
P0561,Sistem Gerilimi Arızası
P0562,Sistem Gerilimi Kararsız
P0563,Klima basınç sensörü düşük voltajı (Chrysler)
P0565,Sistem Gerilimi Yüksek
P0566,Sinyal Arızasında Hız Sabitleyici
P0567,Hız Sabitleyici Kapalı Sinyal Arızası
P0568,Hız Sabitleyici Devam Sinyali Arızası
P0569,Hız Sabitleyici Ayar Sinyali Arızası
P0570,Hız Sabitleyici Sahil Sinyali Arızası
P0571,Hız Sabitleyici Hızlanma Sinyali Arızası
P0572,Hız Sabitleyici/Fren Anahtarı A Devresi Arızası
P0573,Hız Sabitleyici/Fren Anahtarı A Devresi Düşük
P0574,Hız Sabitleyici/Fren Anahtarı A Devresi Yüksek
P0575,Hız Sabitleyiciyle İlgili Arıza
P0576,Hız Sabitleyiciyle İlgili Arıza
P0578,Hız Sabitleyiciyle İlgili Arıza
P0579,Hız Sabitleyiciyle İlgili Arıza
P0580,Hız Sabitleyiciyle İlgili Arıza
P0600,Hız Sabitleyiciyle İlgili Arıza
P0601,Seri İletişim Bağlantısı Arızası
P0602,Kontrol Modülü Salt Okunur Belleği(ROM)
P0603,Kontrol Modülü Programlama Hatası
P0604,Dahili Kontrol Modülü Canlı Belleği Tutma (KAM) Hatası
P0605,Dahili Kontrol Modülü Rasgele Erişim Belleği (RAM) Hatası
P0606,Dahili Kontrol Modülü Salt Okunur Bellek (ROM) Hatası
P0608,PCM İşlemci Arızası
P0609,"Kontrol Modülü VSS Çıkışı ""A"" Arızası"
P0620,"Kontrol Modülü VSS Çıkışı ""B"" Arızası"
P0621,Jeneratör Kontrol Devresi Arızası
P0622,"Jeneratör Lambası ""L"" Kontrol Devresi Arızası"
P0650,"Jeneratör Alanı ""F"" Kontrol Devresi Arızası"
P0654,Arıza Gösterge Lambası (MIL) Kontrol Devresi Arızası
P0655,Motor Devri Çıkış Devresi Arızası
P0656,Motor Sıcak Lambası Çıkış Kontrol Devresi Arızası
P0700,Yakıt Seviyesi Çıkış Devresi Arızası
P0701,Şanzıman Kontrol Sistemi Arızası
P0702,Şanzıman Kontrol Sistemi Aralığı/Performansı
P0703,Şanzıman Kontrol Sistemi Elektrik
P0704,Tork Konvertörü/Fren Anahtarı B Devresi Arızası
P0705,Debriyaj Anahtarı Giriş Devresi Arızası
P0706,Şanzıman Menzil Sensörü Devresi arızası (PRNDL Girişi)
P0707,Şanzıman Menzili Sensörü Devre Menzili/Performansı
P0708,Şanzıman Menzili Sensörü Devresi Düşük Girişi
P0709,Şanzıman Menzili Sensörü Devresi Yüksek Giriş
P0710,İletim Aralığı Sensörü Devresi Aralıklı
P0711,Şanzıman Yağı Sıcaklık Sensörü Devresi Arızası
P0712,Şanzıman Yağı Sıcaklık Sensörü Devre Aralığı/Performansı
P0713,Şanzıman Yağı Sıcaklık Sensörü Devresi Düşük Girişi
